,date,USE00020,PE100058,MA000001,price_open,price_high,price_low,price_close,PE100042,S5806281,S5806282,S5807322,S5807323,S5806058,S5808597,S0116880,S0068143,S0029751,S0029752,S0164358,S5806052,S0049507,S0049493,S0181392,S0203259,S0203260,M0086399,PE100035,PE100036,USE00145_low,USE00145_high,USE00145_mean,target
63,2016-07-05,6.7,991204.0,1102055.0,38440.0,38540.0,37470.0,37790.0,0.86417,40.0,60.0,45.0,60.0,-19.25,-33.75,37910.0,37620.0,4840.5,198925.0,147750.0,329620.0,162130.0,67608.0,37880.0,-20.0,70.0,637608.0,7.8297,7.8484,-10.0,50.0,20.0,1.0
64,2016-07-06,6.71,991204.0,1102055.0,37760.0,37850.0,36950.0,37380.0,0.883301,50.0,70.0,45.0,60.0,-18.5,-37.0,37410.0,37320.0,4706.0,222550.0,172100.0,330998.0,162130.0,68007.0,37390.0,0.0,70.0,608418.0,7.8669,7.8711,10.0,60.0,35.0,1.0
65,2016-07-07,6.74,991204.0,1102055.0,36880.0,37290.0,36820.0,36910.0,1.03589,110.0,130.0,45.0,60.0,-14.0,-38.25,37070.0,37050.0,4725.0,220725.0,172100.0,331064.0,162130.0,67882.0,37050.0,20.0,100.0,592260.0,7.8576,7.8683,40.0,90.0,65.0,1.0
66,2016-07-08,6.74,991204.0,1102055.0,36960.0,37100.0,36450.0,36620.0,1.25095,110.0,130.0,45.0,60.0,-12.75,-37.25,36660.0,36590.0,4710.0,223225.0,170725.0,330907.0,162130.0,67083.0,36680.0,50.0,120.0,592188.0,7.8226,7.8502,40.0,100.0,70.0,0.0
68,2016-07-11,6.74,991204.0,1102055.0,36800.0,37130.0,36540.0,37020.0,1.40395,60.0,100.0,45.0,60.0,-20.0,-38.0,36820.0,36820.0,4746.0,222600.0,162800.0,331462.0,177199.0,65640.0,36800.0,40.0,90.0,590146.0,7.7095,7.7432,0.0,70.0,35.0,0.0
69,2016-07-12,6.74,991204.0,1102055.0,37140.0,37260.0,36900.0,37180.0,1.36724,50.0,70.0,45.0,60.0,-19.0,-34.75,37080.0,37010.0,4811.5,234750.0,171225.0,337624.0,177199.0,65315.0,37060.0,-20.0,80.0,587960.0,7.6198,7.6321,-20.0,50.0,15.0,0.0
70,2016-07-13,6.74,991204.0,1102055.0,37500.0,39210.0,37260.0,38580.0,1.68909,20.0,40.0,45.0,60.0,-19.75,-29.75,38390.0,38370.0,4918.5,233050.0,164150.0,344573.0,177199.0,66014.0,38350.0,-50.0,60.0,638266.0,7.5162,7.5912,-40.0,40.0,0.0,0.0
71,2016-07-14,6.74,991204.0,1102055.0,38660.0,38820.0,38190.0,38640.0,1.1705,0.0,20.0,45.0,60.0,-19.0,-31.25,38470.0,38310.0,4911.5,234925.0,158925.0,346005.0,177199.0,66562.0,38470.0,-80.0,50.0,654666.0,7.7996,7.8158,-80.0,30.0,-25.0,1.0
72,2016-07-15,6.73,991204.0,1102055.0,38530.0,38710.0,38230.0,38500.0,0.941003,-20.0,0.0,45.0,60.0,-17.5,-31.25,38430.0,38220.0,4945.5,231275.0,154150.0,348200.0,177199.0,74907.0,38420.0,-100.0,10.0,657412.0,7.8018,7.8181,-80.0,-30.0,-55.0,1.0
74,2016-07-18,6.72,991204.0,1102055.0,38700.0,38930.0,37800.0,37850.0,0.84709,-30.0,-10.0,45.0,60.0,-17.0,-30.75,38140.0,38070.0,4839.0,229425.0,148450.0,348456.0,174971.0,74155.0,38230.0,-80.0,30.0,630140.0,7.658,7.6661,-80.0,-20.0,-50.0,0.0
75,2016-07-19,6.74,991204.0,1102055.0,37790.0,38550.0,37790.0,38300.0,0.846002,-10.0,10.0,45.0,60.0,-16.25,-33.25,38310.0,38210.0,4938.0,226300.0,147450.0,339656.0,174971.0,73830.0,38240.0,-70.0,20.0,618974.0,7.6747,7.6968,-50.0,0.0,-25.0,0.0
76,2016-07-20,6.74,991204.0,1102055.0,38380.0,38800.0,38110.0,38280.0,0.846291,0.0,20.0,45.0,60.0,-12.25,-37.0,38480.0,38320.0,4900.5,228000.0,151050.0,342921.0,174971.0,73785.0,38460.0,-100.0,20.0,627464.0,7.7253,7.7435,-30.0,10.0,-10.0,1.0
77,2016-07-21,6.73,991204.0,1102055.0,38020.0,38690.0,37870.0,38650.0,0.806694,10.0,30.0,45.0,60.0,-9.5,-32.25,38490.0,38400.0,4953.5,228400.0,152300.0,343442.0,174971.0,74013.0,38400.0,-120.0,20.0,631372.0,7.7548,7.7749,-40.0,10.0,-15.0,0.0
78,2016-07-22,6.71,991204.0,1102055.0,38570.0,38840.0,38160.0,38180.0,0.825614,10.0,30.0,45.0,60.0,-9.0,-31.0,38500.0,38350.0,4956.0,222725.0,138250.0,343312.0,174971.0,71863.0,38460.0,-20.0,20.0,615460.0,7.7539,7.7722,-50.0,10.0,-20.0,1.0
80,2016-07-25,6.71,991204.0,1102055.0,38350.0,38650.0,37830.0,38160.0,0.855902,10.0,30.0,45.0,60.0,-12.25,-32.5,38250.0,38100.0,4920.0,221350.0,135500.0,344007.0,165468.0,71136.0,38180.0,-50.0,20.0,605460.0,7.7753,7.7916,-50.0,20.0,-15.0,1.0
81,2016-07-26,6.72,991204.0,1102055.0,38170.0,38250.0,37600.0,37810.0,0.797067,20.0,40.0,45.0,60.0,-12.75,-33.75,37900.0,37740.0,4862.0,213725.0,135675.0,346432.0,165468.0,71136.0,37810.0,-130.0,30.0,592236.0,7.6662,7.6845,-40.0,30.0,-5.0,0.0
82,2016-07-27,6.72,991204.0,1102055.0,37770.0,38090.0,37620.0,37740.0,0.886282,20.0,40.0,45.0,60.0,-11.0,-35.0,37950.0,37820.0,4869.5,214425.0,141650.0,346411.0,165468.0,70528.0,37890.0,0.0,40.0,588728.0,7.7729,7.7914,-30.0,30.0,0.0,1.0
83,2016-07-28,6.71,991204.0,1102055.0,37700.0,37890.0,37430.0,37820.0,0.823616,70.0,90.0,45.0,60.0,-11.75,-34.75,37820.0,37680.0,4862.0,208725.0,140475.0,349825.0,165468.0,70020.0,37700.0,0.0,70.0,576748.0,7.7112,7.7398,-20.0,70.0,25.0,0.0
84,2016-07-29,6.7,991204.0,1102055.0,37880.0,38060.0,37430.0,37470.0,0.854706,40.0,60.0,45.0,60.0,-9.75,-31.5,37930.0,37730.0,4853.0,209450.0,142975.0,344954.0,165468.0,71135.0,37810.0,0.0,80.0,567430.0,7.623,7.6291,-10.0,70.0,30.0,0.0
86,2016-08-01,6.7,972735.0,837883.0,37690.0,38330.0,37500.0,38280.0,0.865185,80.0,100.0,45.0,60.0,-13.5,-37.0,38050.0,37870.0,4907.0,210075.0,146850.0,351180.0,165239.0,71613.0,37980.0,30.0,90.0,576834.0,7.8099,7.8427,0.0,90.0,45.0,1.0
87,2016-08-02,6.68,972735.0,837883.0,38140.0,38160.0,37680.0,38020.0,0.985695,100.0,120.0,45.0,60.0,-11.25,-36.5,38010.0,37760.0,4885.5,209650.0,151000.0,352804.0,165239.0,70935.0,37940.0,-70.0,110.0,570826.0,7.7382,7.7751,10.0,100.0,55.0,0.0
